DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m tcp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:24:26 2023
[Status] Stopping after 1 run through file
> NOERROR www.124.086.dyn.b2.gruppoterra.it A 0.001027
> NXDOMAIN fwebmail.ivanoporpora.it A 0.000541
> NOERROR www.128-116-225-121.static.eolo.it A 0.000570
> NOERROR www.217-133-33-188.static.clienti.tiscali.it A 0.001191
> NOERROR www.2-224-25-29.ip168.fastwebnet.it A 0.001186
> NOERROR www.124-212-234-46.4all.it A 0.000889
> NOERROR www.128-116-223-200.dyn.eolo.it A 0.000951
> NOERROR www.2-226-133-193.ip181.fastwebnet.it A 0.001268
> NOERROR www.2-227-187-162.ip187.fastwebnet.it A 0.001712
> NOERROR www.103.10.141.94.dsl.static.ip.kpnqwest.it A 0.001711
> NXDOMAIN fwww.profedibella.it A 0.001889
> NOERROR www.217-133-91-255.static.clienti.tiscali.it A 0.001748
> NOERROR www.122.19.141.94.dsl.static.ip.kpnqwest.it A 0.001609
> NOERROR www.2-227-30-190.ip184.fastwebnet.it A 0.001441
> NOERROR www.2-225-143-220.ip176.fastwebnet.it A 0.001808
> NOERROR www.20120036-playtravelnetwork.bookingfax.it A 0.001791
> NOERROR www.188-241-186-129.customer.neomedia.it A 0.001977
> NOERROR www.2-224-34-62.ip168.fastwebnet.it A 0.002424
> NOERROR www.128-116-225-216.static.eolo.it A 0.002348
> NOERROR www.2-227-242-253.ip188.fastwebnet.it A 0.002446
> NXDOMAIN fwww.cpy.it A 0.002983
> NOERROR www.151-0-221-73.ip282.fastwebnet.it A 0.003150
> NXDOMAIN fvideolearning.it A 0.003112
> NOERROR www.2-225-184-109.ip177.fastwebnet.it A 0.002821
> NOERROR www.173-239-229-159.ac.avidb.it A 0.003202
> NOERROR www.107.75.168.109.cust.ip.kpnqwest.it A 0.002842
> NXDOMAIN fwww.orientalialab.it A 0.003184
> NOERROR www.2-230-246-16.ip204.fastwebnet.it A 0.002872
> NOERROR www.2-226-37-68.ip179.fastwebnet.it A 0.003069
> NOERROR www.217-171-234-226.protezionecivile.fvg.it A 0.003128
> NOERROR www.128-116-185-112.dyn.eolo.it A 0.002738
> NOERROR www.128-116-185-104.dyn.eolo.it A 0.002914
> NOERROR www.146-241-138-174.dyn.eolo.it A 0.002818
> NXDOMAIN fwww.mail.infrastruktura.it A 0.002445
