DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m udp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:23:47 2023
[Status] Stopping after 1 run through file
> NOERROR www.124.086.dyn.b2.gruppoterra.it A 0.001017
> NXDOMAIN fwebmail.ivanoporpora.it A 0.001863
> NOERROR www.2-224-25-29.ip168.fastwebnet.it A 0.001359
> NOERROR www.217-133-33-188.static.clienti.tiscali.it A 0.001462
> NOERROR www.128-116-225-121.static.eolo.it A 0.002534
> NOERROR www.128-116-223-200.dyn.eolo.it A 0.000420
> NOERROR www.124-212-234-46.4all.it A 0.001285
> NOERROR www.2-226-133-193.ip181.fastwebnet.it A 0.001038
> NOERROR www.2-227-187-162.ip187.fastwebnet.it A 0.000977
> NOERROR www.103.10.141.94.dsl.static.ip.kpnqwest.it A 0.000355
> NXDOMAIN fwww.profedibella.it A 0.000729
> NOERROR www.217-133-91-255.static.clienti.tiscali.it A 0.000592
> NOERROR www.122.19.141.94.dsl.static.ip.kpnqwest.it A 0.000291
> NOERROR www.2-227-30-190.ip184.fastwebnet.it A 0.000719
> NOERROR www.2-225-143-220.ip176.fastwebnet.it A 0.000599
> NOERROR www.20120036-playtravelnetwork.bookingfax.it A 0.000200
> NOERROR www.188-241-186-129.customer.neomedia.it A 0.000609
> NOERROR www.128-116-225-216.static.eolo.it A 0.000152
> NOERROR www.2-224-34-62.ip168.fastwebnet.it A 0.000950
> NOERROR www.2-227-242-253.ip188.fastwebnet.it A 0.000712
> NXDOMAIN fwww.cpy.it A 0.000550
> NOERROR www.151-0-221-73.ip282.fastwebnet.it A 0.000178
> NXDOMAIN fvideolearning.it A 0.000784
> NOERROR www.2-225-184-109.ip177.fastwebnet.it A 0.000664
> NOERROR www.173-239-229-159.ac.avidb.it A 0.000340
> NOERROR www.107.75.168.109.cust.ip.kpnqwest.it A 0.000615
> NXDOMAIN fwww.orientalialab.it A 0.000515
> NOERROR www.2-230-246-16.ip204.fastwebnet.it A 0.000101
> NOERROR www.2-226-37-68.ip179.fastwebnet.it A 0.000469
> NOERROR www.128-116-185-112.dyn.eolo.it A 0.000094
> NOERROR www.217-171-234-226.protezionecivile.fvg.it A 0.000722
> NOERROR www.128-116-185-104.dyn.eolo.it A 0.000625
> NOERROR www.146-241-138-174.dyn.eolo.it A 0.000788
> NXDOMAIN fwww.mail.infrastruktura.it A 0.000139
> NXDOMAIN fwebmail.bacalini.it A 0.000759
> NOERROR www.188-213-42-73.wdsl.neomedia.it A 0.000241
> NOERROR www.128-116-159-78.dyn.eolo.it A 0.000161
> NOERROR www.2-226-1-237.ip178.fastwebnet.it A 0.000494
> NOERROR www.146-241-99-32.dyn.eolo.it A 0.000402
> NOERROR www.128-116-211-71.static.eolo.it A 0.000222
> NOERROR www.199.189.43.195.host.static.ip.kpnqwest.it A 0.000786
> NOERROR www.2-225-175-250.ip176.fastwebnet.it A 0.000391
> NXDOMAIN fwhm.taxiragusaocchipinti.it A 0.000448
> NOERROR www.2-227-136-170.ip186.fastwebnet.it A 0.000397
> NOERROR www.2-225-113-247.ip175.fastwebnet.it A 0.000286
> NOERROR www.2-227-83-126.ip185.fastwebnet.it A 0.000254
> NXDOMAIN fvip-extranet-coll-old.bancaditalia.it A 0.000851
> NOERROR www.146-241-192-158.dyn.eolo.it A 0.000339
> NOERROR www.128-116-163-175.static.eolo.it A 0.000455
> NOERROR www.2-226-47-238.ip179.fastwebnet.it A 0.000416
> NOERROR www.2-228-132-222.ip191.fastwebnet.it A 0.000298
> NOERROR www.151-0-218-223.ip282.fastwebnet.it A 0.000246
> NOERROR www.217-133-219-113.static.clienti.tiscali.it A 0.000662
> NOERROR www.2-225-69-85.ip174.fastwebnet.it A 0.000219
> NXDOMAIN fwww.copies.it A 0.000279
> NOERROR www.2-232-120-134.ip212.fastwebnet.it A 0.000921
> NOERROR www.2-225-38-14.ip174.fastwebnet.it A 0.000288
> NOERROR www.105.61.168.109.dsl.static.ip.kpnqwest.it A 0.000795
> NOERROR www.2-225-254-32.ip178.fastwebnet.it A 0.001234
> NOERROR www.1117a.u12.unimib.it A 0.000821
> NOERROR www.2-228-196-177.ip193.fastwebnet.it A 0.000339
> NOERROR www.2-227-164-199.ip187.fastwebnet.it A 0.000984
> NOERROR www.146-241-233-240.dyn.eolo.it A 0.001966
> NXDOMAIN fvirtualslot.it A 0.001317
